kabupaten;tahun;Pelayanan_Umum;Ketertiban_aman;Ekonomi;Lingk_hidup;Perum_Fasum;Kesehatan;Pariwisata;Pendidikan;Perlindungan_Sosial;Total;A_Pertanian_KP;B_Pertambangan;C_Industri_Pengolahan;D_Pengadaan_LG;E_Pengadaan_Air_dll;F_Konstruksi;G_Perdagangan_Besar_dll;H_Transportasi;I_Penyediaan_AkMamin;J_Infokom;K_Jasa_Keuangan;L_Real_Estate;M_N_Jasa_Perusahaan;O_Administrasi_Pem;P_Jasa_Pendidikan;Q_Jasa_KesSos;R_S_T_U_Jasa_Lain;PDRB;ipm;miskin;pertumbuhan;gini;unemploy;pop_ribujiwa;pdrb_perkap;pct_formal;pend_miskin
Bantaeng;2014;140,4;4,6;59,8;32,8;50,7;81,1;6,2;239,2;7,8;622,6;1302,07;90,38;182,07;4,9;3,33;576,72;564,15;45,59;29,75;103,32;88,11;208,92;5,02;248,55;222,02;90,52;53,87;3819,28;65,77;9,68;8,33;0,46;2,4;182,28;27,23;45,44;17,7
Bantaeng;2015;196,9;7,5;76,3;20,3;93,4;131,9;7,3;236,2;5,7;775,4;1307,02;116,97;196,86;5,4;3,37;600,44;657,08;53,95;33,15;113,31;93,16;231,45;5,34;258,17;232,02;105,95;59,44;4073,06;66,2;9,53;6,64;0,44;4,07;183,24;30,42;40,83;17,55
Bantaeng;2016;93,5;154,2;7,4;37,3;11,6;242,2;248,1;10,9;151,8;957,0;1411,06;130,11;205,94;5,97;3,79;643,74;693,87;54,91;34,43;126,99;105,68;240,25;5,64;290,87;253;106,51;61,46;4374,21;66,59;9,51;7,39;0,38;4,07;184,46;34,13;36,23;17,53
Bantaeng;2017;232,0;8,6;98,9;137,6;0,9;178,0;7,5;226,9;4,4;894,8;1489,99;143,98;218,79;6,3;4,03;713,15;761,09;56,19;38,36;137,29;109,36;247,45;6;306,93;278,46;110,11;66,69;4694,16;67,27;9,66;7,31;0,42;5,23;185,52;37,41;34,56;17,91
Bantaeng;2018;283,5;8,8;52,2;12,6;135,6;202,7;7,7;215,8;9,7;928,6;1565,71;158,27;258,13;6,75;4,27;777,82;836,71;61,81;42,66;150,84;115,17;259,58;6,61;338,91;296,55;120,52;75,54;5075,84;67,76;9,23;8,13;0,34;3,69;186,53;41,63;31,63;17,2
Bantaeng;2019;266,1;11,6;89,4;13,1;92,1;204,7;7,4;344,6;0,0;1029,0;1636,81;166,15;435,86;10,1;4,52;840,11;926,04;67,03;46,15;165,74;120,59;278,39;7,05;380,71;323,51;130,28;82,46;5621,52;68,3;9,03;10,75;0,34;3,65;187,47;46,84;30,09;16,91
Bantaeng;2020;249,2;10,1;80,0;11,5;60,9;184,3;8,7;331,0;0,0;935,6;1635,81;176,8;394,44;9,86;4,69;842,01;903,81;64,22;48,49;195,06;130,34;297,23;6,82;377,52;335,83;152,4;75,19;5650,54;68,73;8,95;0,52;0,34;4,27;196,72;45,68;22,4;16,84
Bantaeng;2021;231,0;17,5;114,9;13,7;8,9;273,8;7,6;283,5;11,8;962,8;1707,17;187,79;567,07;16,69;4,69;934,93;970,09;68,58;50,78;207,75;138,37;311,85;7,08;380,65;351,58;164,39;82;6151,45;68,99;9,41;8,86;0,33;4,07;198,5;50,79;24,23;17,78
Bantaeng;2022;261,0;15,4;152,1;27,0;29,2;262,7;6,3;248,7;8,7;1011,2;1713,14;196,43;1263,92;38,02;4,89;977,98;1062,62;77,4;58,37;222,4;140,46;326,24;7,92;378,84;366,68;177,22;89,51;7102,04;69,69;9,07;15,45;0,32;2,72;200,84;60,57;31,06;17,22
Bantaeng;2023;256,6;34,5;126,3;17,0;15,8;244,3;5,9;287,7;8,2;996,3;1673,29;224,18;1465,04;46,45;5,18;1044,72;1115,63;83,85;59,91;219,96;137,08;351,02;8,56;377,23;398,93;193,54;92,09;7496,65;70,57;9,18;5,56;0,34;3,71;203,14;62,78;27,09;17,49
