kabupaten,tahun,Pelayanan_Umum,Ketertiban_aman,Ekonomi,Lingk_hidup,Perum_Fasum,Kesehatan,Pariwisata,Pendidikan,Perlindungan_Sosial,Total,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin
Bantaeng,2014,140.4108815,4.591905109,59.81011349,32.77539282,50.74331658,81.13398633,6.241065389,239.171063,7.753773715,622.631498,1302.07,90.38,182.07,4.9,3.33,576.72,564.15,45.59,29.75,103.32,88.11,208.92,5.02,248.55,222.02,90.52,53.87,3819.28,65.77,9.68,8.33,0.46,2.4,182.28,27.23,45.44,17.7
Bantaeng,2015,196.8562111,7.505482334,76.31541542,20.26878841,93.44436184,131.8602752,7.273553924,236.2039436,5.667734301,775.3957661,1307.02,116.97,196.86,5.4,3.37,600.44,657.08,53.95,33.15,113.31,93.16,231.45,5.34,258.17,232.02,105.95,59.44,4073.06,66.2,9.53,6.64,0.44,4.07,183.24,30.42,40.83,17.55
Bantaeng,2016,93.51720326,154.1659884,7.408620542,37.31220654,11.59168773,242.1752153,248.0606251,10.94057926,151.8209831,956.9931093,1411.06,130.11,205.94,5.97,3.79,643.74,693.87,54.91,34.43,126.99,105.68,240.25,5.64,290.87,253,106.51,61.46,4374.21,66.59,9.51,7.39,0.38,4.07,184.46,34.13,36.23,17.53
Bantaeng,2018,283.5302969,8.814454362,52.17179563,12.59073959,135.5965142,202.6825384,7.729335065,215.7637772,9.740101323,928.6195527,1565.71,158.27,258.13,6.75,4.27,777.82,836.71,61.81,42.66,150.84,115.17,259.58,6.61,338.91,296.55,120.52,75.54,5075.84,67.76,9.23,8.13,0.34,3.69,186.53,41.63,31.63,17.2
Bantaeng,2019,266.0746122,11.6322431,89.36908157,13.14376027,92.06208044,204.7193185,7.431198375,344.596788,0,1029.029082,1636.81,166.15,435.86,10.1,4.52,840.11,926.04,67.03,46.15,165.74,120.59,278.39,7.05,380.71,323.51,130.28,82.46,5621.52,68.3,9.03,10.75,0.34,3.65,187.47,46.84,30.09,16.91
Bantaeng,2020,249.2047093,10.09051806,79.9523095,11.49990118,60.88426891,184.2811388,8.650488886,331.0488277,0,935.6121623,1635.81,176.8,394.44,9.86,4.69,842.01,903.81,64.22,48.49,195.06,130.34,297.23,6.82,377.52,335.83,152.4,75.19,5650.54,68.73,8.95,0.52,0.34,4.27,196.72,45.68,22.4,16.84
Bantaeng,2021,231.0308691,17.4615604,114.8764939,13.68247881,8.932426664,273.7917187,7.641468011,283.4930555,11.84212925,962.7522004,1707.17,187.79,567.07,16.69,4.69,934.93,970.09,68.58,50.78,207.75,138.37,311.85,7.08,380.65,351.58,164.39,82,6151.45,68.99,9.41,8.86,0.33,4.07,198.5,50.79,24.23,17.78
Bantaeng,2022,261.0130036,15.43579,152.1334762,26.96611877,29.20186107,262.7083917,6.343915252,248.6719998,8.737887958,1011.212444,1713.14,196.43,1263.92,38.02,4.89,977.98,1062.62,77.4,58.37,222.4,140.46,326.24,7.92,378.84,366.68,177.22,89.51,7102.04,69.69,9.07,15.45,0.32,2.72,200.84,60.57,31.06,17.22
Bantaeng,2023,256.5859197,34.49603883,126.3429293,16.98865541,15.79507361,244.3068275,5.928851352,287.6834391,8.154414386,996.2821492,1673.29,224.18,1465.04,46.45,5.18,1044.72,1115.63,83.85,59.91,219.96,137.08,351.02,8.56,377.23,398.93,193.54,92.09,7496.65,70.57,9.18,5.56,0.34,3.71,203.14,62.78,27.09,17.49
Bantaeng,2024,257.2805057,0,0,0,0,312.0422388,3.514466452,330.5772082,0,811.4400792,1723.44,232.09,1487.94,43.03,5.29,1058.62,1197.85,89.86,64.79,235.33,143.14,374.51,9,414.16,438.56,201.71,104.17,7823.49,71.48,8.26,4.36,0.25,2.57,205.42,65.48,28.13,15.8
Bantaeng,2025,270.058031,0,0,0,0,297.2997932,2.658158123,332.6724,0,828.2050536,1843.76,240.33,1256.34,26.94,5.45,1119.57,1288.53,99.36,72.57,263.49,157.43,411.29,9.72,413.55,479.8,220.43,115.05,8023.6,73.12,7.68,2.56,0.27,3.74,207.7,68.61,31.89,14.74
Barru,2014,136.7251411,7.828294257,47.01467933,2.960875115,74.67803611,80.60961916,4.156527938,279.2496363,6.364547173,639.5873565,1305.89,105.94,190.83,4.71,3.75,507.4,325.13,79.48,32.5,178.39,91.81,115.24,0.91,279.46,141.53,89.53,22.28,3474.78,67.94,9.74,7.35,0.37,2.3,170.32,26.03,8.84,16.6
Barru,2015,203.369495,8.22042387,55.46134945,6.966581235,150.2324118,122.368202,5.582941375,320.4772191,10.96175882,883.6403826,1368.22,115.48,200.42,4.68,3.76,537.84,357.57,85.2,34.99,193.05,99.66,125.61,0.93,297.07,152.31,93.06,24.38,3694.24,68.64,9.42,6.32,0.38,7.68,171.14,28.87,26.6,16.1
Barru,2017,216.1263563,13.53511888,47.88659043,247.2654223,5.673765553,167.096548,4.520936401,296.1979201,8.35677232,1006.65943,1501.21,125.04,222.58,5.7,4.28,648.67,422.9,98.83,39.17,232.78,117.76,145.36,1.04,309.79,165.05,102.55,27.29,27.29,69.56,9.71,6.48,0.39,5.6,172.69,34.51,16.23,16.76
Barru,2018,273.6019619,8.897256205,43.06434235,8.510312564,201.2048502,152.0921182,6.253764175,284.7096082,14.32187237,992.6560862,1581.31,130.68,232.09,6.1,4.62,714.3,460.26,111.5,43.31,255.89,120.72,153.34,1.14,338.93,173.78,108.28,30.29,4466.54,70.05,9.04,7.11,0.38,5.38,173.36,38.09,36.34,15.68
Barru,2019,288.4872383,11.3571101,36.21906424,13.75783661,151.9383185,174.3574477,7.800355433,290.0262667,18.47049105,992.4141286,1652.72,138.15,253.7,6.39,5.1,785.01,505.36,126.16,48.28,281.43,124.64,155.83,1.25,375.96,186.48,117.3,33.68,4797.43,70.6,8.57,7.41,0.36,5.39,173.97,41.8,46.07,14.92
Barru,2020,295.0321902,10.5480063,33.29404351,9.542905565,86.1137218,189.6294454,6.501568796,284.3960156,8.890521065,923.9484183,1662.67,139.11,247.14,6.8,5.79,792.83,497.56,112.19,48.24,313.08,127.94,160,1.18,371.71,195.61,125.65,31.6,4839.12,71,8.26,0.87,0.36,6.39,184.45,40.36,43.1,14.44
Barru,2021,250.962301,12.1074524,112.4371692,17.71797395,10.89431838,175.6147009,6.022719246,294.104529,9.537943551,889.3991075,1751.02,144.1,259.09,7.28,6.08,825.6,524.82,121.03,50.57,332.02,136.88,163.82,1.24,376.89,200.9,134.24,34.41,5069.99,71.13,8.68,4.77,0.36,6.74,185.38,43.46,42.87,15.18
Barru,2022,234.31109,10.47198022,129.3063821,11.00593087,13.10267169,215.7075397,4.911470345,270.1316776,5.041255871,893.9899983,1829.94,148.21,282.11,7.41,6.69,846.17,558.81,139.15,58.43,354.82,138.06,172.78,1.44,395.4,207.27,145.4,37.22,5329.31,71.53,8.4,5.11,0.37,5.32,186.68,47.56,43.43,14.73
Barru,2023,244.0350529,9.993711291,125.6573292,7.489860474,11.79645992,201.0208436,3.861657967,299.5221698,3.376676859,906.7537621,1843.85,158.11,289.19,8.67,6.98,897.62,586.68,149.72,63.59,385.96,133.49,185.31,1.56,395.14,212.33,157.12,40.93,5516.25,72.36,8.46,3.51,0.37,5.89,187.95,49.97,45.46,14.88
Barru,2024,270.3521599,0,0,0,0,220.0678988,3.977386997,309.3925939,0,1085.342743,1924.07,164.81,302.01,8.51,7.1,926.92,622.41,158.91,67.45,410.45,134.4,196.49,1.67,412.99,226.57,176.25,47.34,5788.38,73.06,8.31,4.93,0.31,6.42,189.21,52.27,49.95,14.64
Barru,2025,266.8885359,0,0,0,0,232.7709702,2.896856358,312.1014143,0,1094.020071,2101.56,163.93,321.13,8.73,7.28,955.74,636.14,163.6,67.27,422.22,138.82,207.83,1.76,428.65,231.66,178.5,52.08,6086.9,75.41,8,5.16,0.35,5.07,190.5,56.39,44.81,14.13
Bone,2014,532.1389017,14.24855583,94.34826267,40.70962291,121.4032764,177.9154086,3.533009339,494.1678804,8.53523585,1487.000154,7025.79,403.6,1047.18,20.56,7.05,1435.94,519.07,1883.11,374.86,85.16,303.91,429.13,10,697.33,375.49,153.46,49.74,14821.38,62.09,10.88,9.53,0.4,5,738.51,26.9,28.5,80.5
Bone,2016,122.1203914,250.6039749,21.13549846,11.23927302,7.031545135,539.8723193,478.520769,11.28810927,49.31119575,1491.123076,8454.42,507.05,1225.64,22.59,7.41,1661.7,571.17,2213.68,413.91,94.56,372.03,522.87,11.42,754.19,429.19,177.88,58.48,17498.18,63.86,10.07,9.01,0.39,4.36,745.86,35.15,28.5,75.09
Bone,2017,903.1796582,22.73185164,87.61374308,276.847153,12.24577089,384.2446641,9.116216372,529.285657,15.09664878,2240.361363,9164.71,563,1315.92,23.89,7.79,1815.31,598.21,2436.76,442.96,105.76,410.73,550.05,12.33,793.69,470.4,194.12,64.92,18970.53,64.16,10.28,8.41,0.39,4.55,748.71,39.04,28.5,77.13
Bone,2018,1056.755373,26.47272535,84.19179063,11.02459042,176.0504314,376.8616112,11.74259287,482.2038114,14.40260183,2239.705528,9972.95,624.83,1347.7,25.41,8.46,1968.53,626.06,2726.07,493.69,119.38,459.37,585.16,13.54,885.47,517.06,213.08,73.29,20660.07,65.04,10.55,8.91,0.41,2.82,751.32,43.87,30.16,79.57
Bone,2019,1059.144568,27.39200344,81.45304082,12.94044434,178.87458,450.4991878,4.730536428,534.125591,15.72860906,2364.888561,10305.18,682.79,1571.69,26.45,9.04,2157.57,664.39,2992.5,550.42,130.02,502.21,602.64,14.98,1027.01,556.41,234.3,80.44,22108.04,65.67,10.06,7.01,0.37,3.01,753.69,47.81,29.82,76.25
Bone,2020,1082.263994,37.30520888,66.29841274,11.516795,150.6484244,533.6497613,11.93571151,528.6015267,9.074211643,2431.294046,10207.02,695.39,1541.61,27.87,9.79,2201.28,698.26,2905.24,482.2,117.28,560.59,618.2,13.68,1024.89,613.88,263.9,72.67,22053.74,66.06,10.68,-0.25,0.4,3.2,801.77,45.68,25.73,81.33
Bone,2021,966.4356807,37.50219934,100.179717,12.29959459,159.6581644,454.1911079,6.342857885,511.6319411,22.05466338,2270.295926,10965.84,703.06,1625.18,32.28,10.02,2321.68,705.14,2966.12,505.48,120.72,596.1,660.59,14.05,1069.51,623.54,277.57,76.98,23273.87,66.4,10.52,5.53,0.38,4.15,808.94,48.67,27.22,79.64
Bone,2022,974.5999605,29.32042806,491.1500403,25.37739151,63.54902519,444.7832594,6.942262502,512.6201118,10.16609328,2558.508573,11524.54,720.06,1752.2,36.95,10.42,2462.22,717.67,3098.14,547.62,131.32,679.44,676.66,15.28,1120.18,618.44,289.56,91.01,24491.73,67.01,10.58,5.23,0.38,2.27,816.01,53.48,27.84,80.34
Bone,2023,1017.429943,27.07452192,243.4526938,14.67107337,56.60828829,481.5958588,8.524799967,597.1339559,11.37654783,2457.867682,11837.18,739.52,1833.03,39.16,10.07,2535.64,785.36,3243.78,610.43,141.71,707.14,679.21,18.53,1126.94,698.48,294.12,115.72,25416.03,67.81,10.53,3.77,0.39,2.88,823.08,57.02,29.15,80.12
Bone,2024,1095.547461,0,0,0,0,501.6206027,5.645509621,621.0447385,0,2077.100056,12569.58,742.05,1923.86,40.66,10.02,2587.96,830.12,3439.02,652.07,147.65,730.19,717.64,19.33,1204.07,758.7,321.1,131.36,26825.37,68.36,9.58,5.56,0.39,2.28,830.12,60.26,28.42,73.03
Bone,2025,1121.044592,0,0,0,0,515.3229781,6.736480662,663.7957459,0,2170.885934,13499.54,739.3,2082.15,41.09,10.16,2660.52,3628.19,694.51,157.36,762.4,782.08,868.28,20.29,1227.76,787.68,340.07,146.01,28447.38,71.63,9.13,6.03,0.39,2.75,837.1,64.76,34.97,69.73
Bulukumba,2014,161.6785246,7.264204537,70.76837607,17.47235469,154.027675,130.5084455,5.753905678,505.5083794,19.42447786,1072.406343,2871.18,104.22,435.15,10.97,2.82,519.94,909.73,133.58,33.5,223.67,207.88,249.87,1.2,419.99,181.08,64.69,44.23,6413.7,65.24,8.37,8.54,0.42,2.8,407.77,20.54,33.47,34.2
Bulukumba,2015,280.4745001,10.6529654,80.34531471,21.23568063,186.8837708,205.4886984,9.648651082,549.8430107,26.1380008,1370.710593,2916.53,121.46,470.35,11.46,2.83,565.18,991.35,142.98,37.54,241.4,225.56,281.34,1.28,449.7,196.21,70.73,48.41,6774.32,65.58,8.15,5.62,0.39,3,410.24,23.31,27.95,33.36
Bulukumba,2016,10.67538579,79.47816113,1.082205632,3.62099035,1.274767978,58.03760028,64.4280081,3.099530004,96.90520234,318.6018516,3041.37,139.55,495.89,12.96,2.95,614.38,1099.11,152.2,42.58,265.24,255.51,320.27,1.35,447.55,212.61,76.75,52.59,7232.84,66.46,8.06,6.77,0.38,3,412.68,26.06,37.39,33.25
Bulukumba,2017,330.5042681,14.70749255,69.65382723,263.9911064,35.51508436,269.8619208,11.66167652,461.2324377,33.22491649,1490.35273,3203.65,157.74,511.17,13.7,3.08,671.64,1197.5,165.81,47.87,290.11,263.32,360.44,1.48,469.04,232.9,83.7,57.75,7730.91,67.08,7.97,6.89,0.32,3.73,414.79,29.03,36.96,33.1
Bulukumba,2018,335.6963717,14.45758991,61.41178202,14.98392582,209.2867338,254.6193379,11.78641828,476.0189928,24.01372448,1402.274877,3205.54,178,531.4,14.65,3.28,736.06,1313.97,181.5,55.91,317.01,277.46,385.26,1.63,508.42,254.14,91.79,65.32,8121.33,67.7,7.48,5.05,0.35,3.62,416.77,31.55,23.7,31.25
Bulukumba,2020,385.3487559,10.43118991,58.98332632,12.89955586,179.0728529,279.3755438,8.5758571,474.2438636,19.58077756,1428.511723,3237.17,187.42,572.55,16.3,3.5,798.97,1426.38,170.37,57.66,381.98,331.6,397.74,1.72,558.61,286.88,103.15,72.22,8604.2,68.99,7.1,0.43,0.37,3.42,437.61,33.34,23.73,30
