kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Bantaeng,2010,1040.57,56.85,100.69,3.3,2.24,401.69,354.45,31.35,15.34,61.19,52.8,132.04,3.85,203.89,150.44,49.87,35.73,2696.3,62.46,10.24,8.32,0.46,5.51,176.7,15.21,68.45,18.1,0.4835,CUKUP INKLUSIF
Bantaeng,2011,1131.29,63.67,107.6,3.56,2.56,436.48,387.17,33.99,17.78,70.56,62.38,144.42,4.14,223.18,168.47,53.05,39.01,2949.29,63.07,9.21,9.38,0.46,5.54,178.6,18.18,59.24,16.5,0.5063,CUKUP INKLUSIF
Bantaeng,2012,1160.56,72.83,132.13,4.11,3.02,477.9,450.41,38.58,20.77,86.6,75.03,168.51,4.51,231.16,200.8,65.37,42.17,3234.46,63.99,8.9,9.67,0.46,7.02,179.8,21.28,54.64,16.0,0.5208,CUKUP INKLUSIF
Bantaeng,2013,1223.73,80.12,155.32,4.41,3.1,530.47,507.35,41.78,24.54,97.99,82.06,183.68,4.8,241.28,215.27,81.01,48.72,3525.61,64.88,10.45,9.0,0.46,6.44,181.01,24.03,50.04,18.9,0.5204,CUKUP INKLUSIF
Bantaeng,2014,1302.07,90.38,182.07,4.9,3.33,576.72,564.15,45.59,29.75,103.32,88.11,208.92,5.02,248.55,222.02,90.52,53.87,3819.28,65.77,9.68,8.33,0.46,2.4,182.28,27.23,45.44,17.7,0.52,CUKUP INKLUSIF
Bantaeng,2015,1307.02,116.97,196.86,5.4,3.37,600.44,657.08,53.95,33.15,113.31,93.16,231.45,5.34,258.17,232.02,105.95,59.44,4073.06,66.2,9.53,6.64,0.44,4.07,183.24,30.42,40.83,17.55,0.5136,CUKUP INKLUSIF
Bantaeng,2016,1411.06,130.11,205.94,5.97,3.79,643.74,693.87,54.91,34.43,126.99,105.68,240.25,5.64,290.87,253.0,106.51,61.46,4374.21,66.59,9.51,7.39,0.38,4.07,184.46,34.13,36.23,17.53,0.5732,CUKUP INKLUSIF
Bantaeng,2017,1489.99,143.98,218.79,6.3,4.03,713.15,761.09,56.19,38.36,137.29,109.36,247.45,6.0,306.93,278.46,110.11,66.69,4694.16,67.27,9.66,7.31,0.42,5.23,185.52,37.41,34.56,17.91,0.5502,CUKUP INKLUSIF
Bantaeng,2018,1565.71,158.27,258.13,6.75,4.27,777.82,836.71,61.81,42.66,150.84,115.17,259.58,6.61,338.91,296.55,120.52,75.54,5075.84,67.76,9.23,8.13,0.34,3.69,186.53,41.63,31.63,17.2,0.6266,CUKUP INKLUSIF
Bantaeng,2019,1636.81,166.15,435.86,10.1,4.52,840.11,926.04,67.03,46.15,165.74,120.59,278.39,7.05,380.71,323.51,130.28,82.46,5621.52,68.3,9.03,10.75,0.34,3.65,187.47,46.84,30.09,16.91,0.6723,INKLUSIF
